ret(t-2),ret(t-1),ret(t),norm,kk
3.21172,3.72913,-0.765878,0.55302,
3.72913,-0.765878,0.636115,0.55302,
-0.765878,0.636115,0.580764,0.475288,
0.636115,0.580764,-1.39349,0.507085,
0.580764,-1.39349,1.22549,0.377947,
-1.39349,1.22549,2.3005,0.247905,
1.22549,2.3005,-0.941571,0.408359,
2.3005,-0.941571,-1.30974,0.404434,
-0.941571,-1.30974,-1.9299,0.316566,
-1.30974,-1.9299,0.132648,0.589536,
-1.9299,0.132648,-0.129307,0.589536,
0.132648,-0.129307,9.4087,0.589536,
-0.129307,9.4087,8.38531,0.589536,
9.4087,8.38531,8.24508,0.589536,
8.38531,8.24508,-4.83325,0.589536,
8.24508,-4.83325,1.3053,0.602062,
-4.83325,1.3053,1.6147,0.612988,
1.3053,1.6147,-2.8963,0.686811,
1.6147,-2.8963,1.17098,0.782614,
-2.8963,1.17098,2.43748,0.786986,
1.17098,2.43748,1.40789,0.476626,
2.43748,1.40789,3.41683,0.511127,
1.40789,3.41683,-0.943074,0.511127,
3.41683,-0.943074,-2.21042,0.506755,
-0.943074,-2.21042,-1.61107,0.424772,
-2.21042,-1.61107,0.197547,0.537449,
-1.61107,0.197547,-3.4199,0.5357,
0.197547,-3.4199,2.68004,0.487256,
-3.4199,2.68004,0.156718,0.599575,
2.68004,0.156718,1.48775,0.469405,
0.156718,1.48775,2.66238,0.594369,
1.48775,2.66238,-1.06454,0.577409,
2.66238,-1.06454,-1.29305,0.584405,
-1.06454,-1.29305,4.29574,0.65499,
-1.29305,4.29574,3.08954,0.626164,
4.29574,3.08954,2.2862,0.626185,
3.08954,2.2862,1.81158,0.728669,
2.2862,1.81158,1.59492,0.66263,
1.81158,1.59492,-1.43472,0.671132,
1.59492,-1.43472,-1.32597,0.671743,
-1.43472,-1.32597,2.27194,0.623143,
-1.32597,2.27194,0.730215,0.629861,
2.27194,0.730215,-1.13579,0.482281,
0.730215,-1.13579,-5.97464,0.383663,
-1.13579,-5.97464,3.34165,0.383663,
-5.97464,3.34165,-19.3243,0.383663,
3.34165,-19.3243,-5.57167,0.383663,
-19.3243,-5.57167,-8.56811,0.383669,
-5.57167,-8.56811,10.5906,0.383669,
-8.56811,10.5906,5.20321,0.398122,
10.5906,5.20321,2.96888,0.418217,
5.20321,2.96888,-2.96235,0.312805,
2.96888,-2.96235,-1.89076,0.352499,
-2.96235,-1.89076,6.47462,0.392328,
-1.89076,6.47462,1.89023,0.701306,
6.47462,1.89023,-1.60684,0.669024,
1.89023,-1.60684,1.19547,0.648875,
